ID,Name,Description,Status,Priority,Automation Status,Preconditions,Test Steps (Steps),Test Steps (Results),Test Type,References
T001,Guest entry via Continue as Guest,Verify that tapping 'Continue as Guest' on the landing screen navigates directly to the event list without requiring any sign-in or form fields.,Active,High,not_automated,App is freshly installed or session is cleared,Launch the Encore app,"Landing screen is displayed with 'Encore' title, tagline 'Find a seat. See a show.', and 'Continue as Guest' button",functional,None
,,,,,,,Tap 'Continue as Guest',App navigates to the Events list screen showing event cards and category filter chips,,
T002,Event list displays all events with correct metadata,"Verify the event list shows all events with title, category badge, venue, date/time, and starting price for each card.",Active,High,not_automated,User has tapped 'Continue as Guest',Navigate to the Events list screen,"Event cards are visible, each showing category badge, event title, venue name, date/time, and 'From $X' price",functional,None
,,,,,,,Verify the first event card shows all required fields,"Card contains category label, title, venue, date/time in 'Day, Mon DD, YYYY · HH:MM AM/PM' format, and price",,
T003,Category filter narrows event list to selected category,"Verify that selecting a category chip (e.g. Music) filters the event list to show only events of that category, and selecting 'All' resets the list.",Active,High,not_automated,User is on the Events list screen with 'All' filter active,"On the Events list screen, tap the 'Music' category filter chip",Only Music events are displayed; the Music chip shows as selected,functional,None
,,,,,,,Verify no non-Music events appear in the list,All visible event cards have the 'Music' category badge,,
,,,,,,,Tap the 'All' filter chip,All events across all categories are shown again; 'All' chip is selected,,
T004,All five category filters are available and functional,"Verify all five category chips (All, Music, Sports, Theater, Classical, Comedy) are present and each correctly filters the event list.",Active,Medium,not_automated,User is on the Events list screen,"On the Events list screen, verify the category filter row","Filter chips for All, Music, Sports, Theater, Classical are visible (scroll horizontally if needed)",functional,None
,,,,,,,Tap 'Sports' filter chip,Only Sports events are displayed,,
,,,,,,,Tap 'Theater' filter chip,Only Theater events are displayed,,
,,,,,,,Tap 'Classical' filter chip,Only Classical events are displayed,,
T020,Sold-out event is marked and cannot be selected,Verify that events with no remaining seats are visually marked as sold out on the event list and cannot be opened for seat selection.,Active,High,not_automated,At least one sold-out event exists in the catalog,Scroll through the Events list to find a sold-out event,Sold-out event card is visually marked (e.g. 'Sold Out' badge or greyed out),functional,None
